GantryID,Name
1,Victoria Street (after Rochor Road)
2,Nicoll Highway (after Republic Avenue)
3,Eu Tong Sen Street (after Outram Road)
4,Orchard Link (after Orchard Boulevard)
5,Lim Teck Kim Road (after Cantonment Road)
6,Anson Road (after Keppel Road)
7,Tanjong Pagar Road (after Keppel Road)
9,Bencoolen Street (after Rochor Road)
10,Queen Street (after Rochor Road)
11,North Bridge Road (after Rochor Road)
12,Oxley Road (Eber Road)
13,Orchard Road (after Scotts Road)
14,Orchard Turn (after Orchard Boulevard)
15,Killiney Road (after Exeter Road)
16,Beach Road (after Rochor Road)
17,Temasek Boulevard (after Rochor Road)
18,Republic Boulevard (after junction of Republic Avenue and Republic Boulevard)
19,Havelock Road (after Clemenceau Avenue)
20,Havelock Toad (from CTE Exit)
21,Buyong Road (after Kramat Lane)
22,Kramat Road (after Buyong Road)
23,River Valley Road (after Clemenceau Avenue)
24,Merchant Road (after Clemenceau Avenue)
25,Merchant Road (from CTE Exit)
26,Clemenceau Avenue (before Penang Road)
27,Cairnhill Road (after Cairnhill Circle)
28,Central Boulevard (after Marina Gardens Drive)
29,Slip Road from Westbound MCE towards Maxwell Road
30,ECP (City)
31,CTE after Braddell Road
32,PIE after Kallang Bahru exit
33,Serangoon Road
34,Balestier slip road
35,CTE between Ang Mo Kio Avenue 1 and Braddell Road
36,AYE between Portsdown Road and Alexandra Road
37,PIE eastbound after Adam Road
38,Mount Pleasant slip road into the eastbound PIE
39,Thomson Road southbound after Toa Payoh Rise
40,Bendemeer Road southbound after Woodsville Interchange
41,Tuasbound AYE - After North Buona Vista
42,PIE slip road into CTE
43,Dunearn Road eastbound after Dunkirk Avenue
44,Dunearn Road eastbound after Dunkirk Avenue
45,PIE Slip Road into Bendeemer Road
46,CTE northbound between PIE and Braddell Road
47,YMCA Gantry
48,Handy Road Gantry
49,Fort Canning Tunnel Gantry
50,KPE southbound after Defu Flyover
51,CTE northbound between Jalan Bahagia and PIE
52,After Jurong Town Hall
53,Clementi Avenue 6 into AYE
54,BKE between Dairy Farm Road and PIE
55,Upper Bukit Timah Road southbound after Hume Avenue
56,Lorong 6 Toa Payoh from Braddell Road
57,Kallang Bahru from PIE
58,Geylang Bahru westbound after Geylang Bahru Terrace
59,Upper Boon Keng Road near Lorong 1 Geylang
60,Eu Tong Sen Street at Central
61,New Bridge Road
62,South Bridge Road
63,northbound Fullerton Road
64,southbound Fullerton Road
65,PIE westbound before Eunos Link
66,Northbound Bayfront Avenue
67,CTE northbound before Braddell Road
68,CTE slip road to PIE (Changi) / Serangoon Road
69,Southbound Bayfront Avenue
70,Geylang Road westbound before Kallang River
71,Woodsville Tunnel
72,Sheares Avenue towards Marina Boulevard (after Sheares Bridge)
73,ECP Eastbound before KPE
74,Clementi Avenue 2 into AYE
80,KPE slip road into citybound ECP
90,MCE Westbound before exit to Central Boulevard
91,Before Exit to Maxwell Road
92,MCE eastbound after entry from Maxwell Road
93,on slip road after Marina Boulevard
