TYP_CD,GNTRY_NUM,SHAPE_LEN,TYP_CD_DES,coordinates
,36,23.0999721008,ERP,"[(103.79685296286763, 1.2868342289263681), (103.79675052378639, 1.286652536057548)]"
,6,16.6049896287,ERP,"[(103.84435724122274, 1.2733540988016452), (103.8444735616532, 1.2732600542889863)]"
,33,7.32299066844,ERP,"[(103.8646102965261, 1.3291172996476384), (103.86461333011495, 1.329051143540315)]"
,4,14.8010969664,ERP,"[(103.83487942510543, 1.3006755616188006), (103.83499464551939, 1.3006087099948982)]"
,61,21.9160454957,ERP,"[(103.84763731475743, 1.2893244578319907), (103.84778698943445, 1.2891956564349174)]"
,66,14.1730144997,ERP,"[(103.86067473861891, 1.2854422733285806), (103.86080173363831, 1.2854327073949343)]" 
,809,22.8219817492,ERP,"[(103.90332808161703, 1.3596107953368062), (103.90350589225876, 1.3595079730357973)]"
,64,20.3927416237,ERP,"[(103.85370242086233, 1.2859960660952612), (103.85387031966532, 1.2859222025514578)]"
,63,20.860997705,ERP,"[(103.85350128540155, 1.2859998913570572), (103.85367257348184, 1.285923267677778)]"
,,31.2755064192,ERP,"[(103.85925495228744, 1.3465431361784506), (103.85951871981675, 1.3466407386747377)]"
,92,11.4196972031,ERP,"[(103.8657399320424, 1.2746922192434749), (103.86580668240147, 1.2746137828349569)]"
,53,9.87886700083,ERP,"[(103.76637030305773, 1.3088422411816656), (103.76645181034334, 1.3088068565066824)]"
,44,9.03300478744,ERP,"[(103.82531351454402, 1.321174618766057), (103.82529216788446, 1.3210958033181974)]"
,27,12.8069999395,ERP,"[(103.83762044417533, 1.30574904030879), (103.83767435951833, 1.3056467167693913)]"
,24,9.15004957418,ERP,"[(103.8423750805254, 1.2900133874735806), (103.84241880380266, 1.2900834656456976)]"
,5,12.4300111171,ERP,"[(103.84187005512021, 1.273411323852523), (103.84186389692553, 1.273523565515261)]"
,38,12.1122620765,ERP,"[(103.82833519002884, 1.3276568193291658), (103.82829971079839, 1.3275532640840144)]"
,13,18.2929745381,ERP,"[(103.83219798005862, 1.3047238060918487), (103.83228124203096, 1.3048664461569468)]"
,58,10.6508607206,ERP,"[(103.8717208221392, 1.320125004728371), (103.87180445288885, 1.3201718359408432)]"
,42,9.69501982927,ERP,"[(103.86461434816458, 1.3290500718554605), (103.86461816592227, 1.3289624777786437)]"
,15,15.8500090956,ERP,"[(103.83977611739819, 1.2995595170167082), (103.83988535146177, 1.2994675401206506)]"
,12,10.3299206357,ERP,"[(103.84133891420848, 1.299268735722744), (103.84142718265967, 1.2992398436974884)]"
,20,9.39996986006,ERP,"[(103.8427147973378, 1.2877602190413917), (103.84272635198086, 1.287844429838533)]"
,60,21.1679007171,ERP,"[(103.84752490705323, 1.2894512024857927), (103.8476707270344, 1.2893282903411087)]"
,14,15.4999894052,ERP,"[(103.83258862806144, 1.3035732218259468), (103.83269098688338, 1.3034781640725703)]"
,19,18.2302636212,ERP,"[(103.84163499465674, 1.2885101827598522), (103.84154627497412, 1.2883715900363302)]"
,21,12.1999771266,ERP,"[(103.84314106488355, 1.3005841830827065), (103.84324606695567, 1.3005524892059939)]"
,26,13.6380516204,ERP,"[(103.84377265936685, 1.2977063886618219), (103.84365025605935, 1.2977004818562854)]"
,10,12.4670452008,ERP,"[(103.85490771989129, 1.3013303179907534), (103.85498834570427, 1.3012520427195433)]"
,1,14.0595000228,ERP,"[(103.85579973779502, 1.3003617400539855), (103.8557045529559, 1.3004453403803478)]"
,16,13.9580235865,ERP,"[(103.85765000906025, 1.2979959037707904), (103.8577338962496, 1.2979020642640569)]"
,11,14.713672423,ERP,"[(103.85640441003284, 1.2996607451856148), (103.8565102794512, 1.2995810434508297)]"
,UNK,20.2902401967,ERP,"[(103.86160874590401, 1.2843284012828373), (103.86142776234033, 1.2843505439504377)]"
,28,22.9809553154,ERP,"[(103.86061835018975, 1.2745068525239613), (103.8605047383793, 1.2743333061116746)]"
,39,13.3470094815,ERP,"[(103.83714739316866, 1.33630636947145), (103.83726481759095, 1.3362818221185615)]"
,22,10.4619178987,ERP,"[(103.84200179771705, 1.3016665518532227), (103.84197307450204, 1.301576462750413)]"
,34,7.90004432203,ERP,"[(103.85163159335276, 1.3183907244154904), (103.8516516754783, 1.3183221978462913)]"
,25,6.89997874924,ERP,"[(103.84439733849688, 1.2886746146669048), (103.84443575582985, 1.28872359218677)]"
,43,16.1890002421,ERP,"[(103.82365992982633, 1.3216461006303335), (103.82361231605576, 1.3215077579765815)]"
,17,12.9400032183,ERP,"[(103.85963953010643, 1.2960313928255438), (103.85973463844357, 1.2959640754406279)]"
,32,21.999034547,ERP,"[(103.87057496170837, 1.326392199114869), (103.87043690571309, 1.326249809023512)]"
,45,8.42703890225,ERP,"[(103.87043368257302, 1.3262480518920647), (103.87037873071151, 1.326195618575505)]"
,37,22.3831755142,ERP,"[(103.81993393484782, 1.3307795831376779), (103.8198685758211, 1.330588144177537)]"
